location,issue,description,affected_people,severity,additional_info,hashtags
Egmore near Mandaveli Street,stranded residents,Stuck in Kodambakkam with urgent re,49,Low,"Lost contact with family, seeking h",#ChennaiFlood #Urgent
Besant Nagar near Lloyds Road,fallen trees,Stuck in Royapettah with medical eme,24,High,Need immediate evacuation.,#ChennaiFlood #NeedHelp
Royapettah near Lloyds Road,fallen trees,Stuck in Poonamallee with urgent resc,28,Low,"Flood water rising, urgent help nee",#CycloneRelief #Stuck
Washermanpet near OMR Road,urgent rescue needed,Stuck in Porur with severe wind damas,22,High,Stuck with no power or network ac,#NeedHelp #RescueNeeded
Anna Nagar near Sterling Road,fallen trees,Stuck in Anna Nagar with waterlogged,6,High,Stuck with no power or network ac,#CycloneRelief #Stuck
Saidapet near Mount Road,need evacuation,Stuck in Porur with heavy rainfall. Con,34,High,Requesting food and water urgent!,#Stuck #ChennaiFlood
Poonamallee near Besant Avenue,power outage,Stuck in Egmore with road collapse. Cc,26,Low,Requesting food and water urgent!,#Stuck #Urgent
Poonamallee near Arcot Road,no electricity,Stuck in Porur with urgent rescue neet,37,Low,Need immediate evacuation.,#NeedHelp #Stuck
Marina Beach near Raja Annamalai Pura,no electricity,Stuck in Marina Beach with flooded str,8,High,Stuck with no power or network ac,#CycloneRelief #Urgent
Nungambakkam near Mount Road,power outage,Stuck in Guindy with blocked roads. Cc,8,High,Requesting food and water urgent!,#CycloneRelief #Stuck
Mylapore near Dr. Radhakrishnan Salai,no drinking water,Stuck in Kodambakkam with road collz,36,High,"Flood water rising, urgent help nee",#CycloneRelief #Stuck
Saidapet near Raja Annamalai Puram,no electricity,Stuck in Mylapore with no drinking wa,45,Low,Medical assistance required.,#Stuck #ChennaiFlood
Egmore near Raja Annamalai Puram,urgent rescue needed,Stuck in Perungudi with power outage,36,Low,Need immediate evacuation.,#CycloneRelief #RescueNeeded
Perungudi near Raja Annamalai Puram,medical emergency,Stuck in Adyar with heavy rainfall. Cor,45,Low,"Flood water rising, urgent help nee",#RescueNeeded #CycloneRelief
Thiruvanmiyur near Poonamallee High F,road collapse,Stuck in Porur with no drinking water.,46,Moderate,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Guindy near Cathedral Road,fallen trees,Stuck in Marina Beach with food short,48,Moderate,Stuck with no power or network ac,#Urgent #ChennaiFlood
Nungambakkam near Arcot Road,road collapse,Stuck in Washermanpet with road coll,25,Low,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Kodambakkam near Kilpauk Garden Roza,damaged vehicles,Stuck in Kodambakkam with fallen tre,26,High,Stuck with no power or network ac,#Urgent #Stuck
Nungambakkam near Ritchie Street,flooded streets,Stuck in Mylapore with road collapse. |,37,High,Requesting food and water urgent!,#CycloneRelief #Stuck
Adyar near Ritchie Street,severe wind damage,Stuck in Kotturpuram with sewage ove,38,Moderate,"Flood water rising, urgent help nee",#Stuck #CycloneRelief
Porur near Greams Road,medical emergency,Stuck in Porur with landslide risk. Con,7,Low,"Flood water rising, urgent help nee",#NeedHelp #RescueNeeded
Poonamallee near Cathedral Road,stranded residents,Stuck in Kotturpuram with no electri,23,Low,Need immediate evacuation.,#ChennaiFlood #NeedHelp
Besant Nagar near Raja Annamalai Pura,need evacuation,Stuck in Nungambakkam with urgent r,11,High,Medical assistance required.,#NeedHelp #Urgent
Adyar near Mandaveli Street,need evacuation,Stuck in Porur with damaged vehicles.,42,High,Need immediate evacuation.,#CycloneRelief #RescueNeeded
Guindy near Lloyds Road,sewage overflow,Stuck in T. Nagar with road collapse. C,19,High,Requesting food and water urgent!,#Urgent #CycloneRelief
Anna Nagar near Marina Loop Road,need evacuation,Stuck in Besant Nagar with sewage ov,40,Low,Medical assistance required.,#NeedHelp #Stuck
Alwarpet near Chamiers Road,need evacuation,Stuck in Velachery with medical emerg,39,Moderate,"Flood water rising, urgent help nee",#Stuck #CycloneRelief
Adyar near OMR Road,damaged vehicles,Stuck in Thiruvanmiyur with no mobile,11,High,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Guindy near Chamiers Road,damaged vehicles,Stuck in Velachery with landslide risk.,13,Moderate,Stuck with no power or network ac,#Urgent #NeedHelp
Kotturpuram near Dr. Radhakrishnan Sa,power outage,Stuck in Besant Nagar with urgent res,27,Low,Stuck with no power or network ac,#Urgent #RescueNeeded
Mylapore near Lloyds Road,fallen trees,Stuck in T. Nagar with no electricity. C,44,Low,"Lost contact with family, seeking h",#ChennaiFlood #RescueNeeded
Perungudi near Greenways Road,food shortage,Stuck in Anna Nagar with flooded stree,28,Moderate,"Flood water rising, urgent help nee",#Stuck #NeedHelp
Adyar near Lloyds Road,heavy rainfall,Stuck in Nungambakkam with no mobi,8,Moderate,"Flood water rising, urgent help nee",#CycloneRelief #RescueNeeded
Royapettah near Besant Avenue,damaged vehicles,Stuck in Kotturpuram with damaged v,33,Low,Need immediate evacuation.,#Stuck #ChennaiFlood
Saidapet near ECR Road,need evacuation,Stuck in Nungambakkam with power o,44,High,Stuck with no power or network ac,#ChennaiFlood #Stuck
Marina Beach near Mount Road,no electricity,Stuck in Thiruvanmiyur with fallen tree,13,Moderate,"Lost contact with family, seeking h",#Urgent #ChennaiFlood
